Unidad,Sitio,Año,S,N,J,H,L
334,San Evaristo,2000,10,97,0.83660157,1.926346303,0.79467354
335,San Evaristo,2000,16,355,0.357405416,0.990938226,0.372308427
336,San Francisquito,2000,8,94,0.586530781,1.219656472,0.604667124
337,San Francisquito,2000,18,260,0.601787081,1.739388385,0.73029403
338,San Francisquito,2000,13,111,0.774960663,1.987734854,0.822276822
339,San Francisquito,2000,8,45,0.704598797,1.465172009,0.665656566
340,Playa Luces,2000,18,464,0.542324524,1.567519488,0.621629925
341,Playa Luces,2000,22,167,0.852576599,2.635350464,0.91595123
342,Playa Luces,2000,21,578,0.608597287,1.852888097,0.736808333
343,Playa Luces,2000,11,173,0.452044631,1.083955684,0.450127705
344,Playa Luces,2000,10,192,0.293366061,0.67550032,0.273832897
345,Los Balcones,2000,17,179,0.535315096,1.516661874,0.610758898
346,Los Balcones,2000,13,101,0.59855226,1.535256235,0.688316832
347,Los Balcones,2000,10,67,0.476123885,1.09631576,0.440976934
348,Los Balcones,2000,12,62,0.847939359,2.107050152,0.858276044
349,Los Balcones,2000,19,171,0.807973589,2.37902893,0.882834537
350,Los Balcones,2000,19,313,0.519298879,1.529043862,0.579032522
351,Los Balcones,2000,10,35,0.806778718,1.85767665,0.791596639
352,Los Balcones,2000,10,166,0.630973117,1.452869294,0.623074115
353,Los Balcones,2000,16,123,0.691718353,1.917850503,0.791283487
354,Los Balcones,2000,9,96,0.860733827,1.89122552,0.821710526
355,Los Balcones,2000,15,83,0.742741901,2.011382354,0.797237731
356,Los Balcones,2000,10,36,0.84391962,1.943196737,0.838095238
357,Los Balcones,2000,4,17,0.867260832,1.202278802,0.705882353
358,Los Balcones,2000,13,78,0.876975677,2.2493982,0.880785881
359,Los Balcones,2000,13,69,0.791980059,2.031388743,0.830775789
360,Los Balcones,2000,21,329,0.832671805,2.535087992,0.89980725
361,Los Balcones,2000,13,132,0.800094036,2.052200685,0.843164469
362,Los Balcones,2000,9,102,0.370540181,0.814159993,0.333721607
363,Los Balcones,2000,9,32,0.8272076,1.817560868,0.826612903
364,Los Balcones,2000,14,79,0.745725732,1.968012958,0.782213567
365,Playa Jaramillo,2000,13,125,0.794823295,2.0386815,0.82116129
366,Playa Jaramillo,2000,20,81,0.878024949,2.630327676,0.916975309
367,Playa Jaramillo,2000,14,62,0.785674689,2.073440546,0.833950291
368,Playa Jaramillo,2000,20,115,0.844156516,2.52886692,0.890617849
369,Playa Jaramillo,2000,16,42,0.890128778,2.467961013,0.916376307
370,Playa Jaramillo,2000,15,64,0.793557239,2.14899284,0.848710317
371,Playa Jaramillo,2000,16,132,0.695456463,1.928214745,0.753874624
372,Playa Jaramillo,2000,6,14,0.85766114,1.536722469,0.791208791
373,Playa Jaramillo,2000,4,39,0.588019308,0.815167852,0.487179487
374,Playa Jaramillo,2000,12,79,0.573851516,1.425967448,0.585199611
375,San Cosme,2001,17,255,0.646155628,1.830696747,0.708939324
376,San Cosme,2001,23,178,0.788024362,2.47084583,0.874055735
377,San Cosme,2001,12,42,0.829441312,2.061084231,0.843205575
378,San Cosme,2001,11,65,0.731975661,1.755200976,0.764423077
379,San Cosme,2001,13,69,0.824060602,2.113673712,0.861040068
