Medición 	Año	Mes 	Perimetro.cm	Diametro.cm	Biomasa.kg	Carbono.kg.C	Area.m2
599	2017	Octubre	39.5	12.573	63.88	29.38471967	1.242
600	2017	Octubre	44	14.006	83.396	38.36203986	1.541
601	2017	Octubre	43.5	13.846	81.074	37.29383822	1.506
602	2017	Octubre	43	13.687	78.79	36.24354606	1.471
603	2017	Octubre	43.5	13.846	81.074	37.29383822	1.506
604	2017	Octubre	28	8.913	27.296	12.55618264	0.624
605	2017	Octubre	54.5	17.348	141.517	65.09773615	2.364
606	2017	Octubre	67.5	21.486	240.094	110.4433958	3.626
607	2017	Octubre	40	12.732	65.897	30.31240307	1.273
608	2017	Octubre	45	14.324	88.158	40.55255763	1.611
609	2017	Octubre	36	11.459	50.792	23.36434487	1.031
610	2017	Octubre	45	14.324	88.158	40.55255763	1.611
611	2017	Octubre	34	10.823	44.102	20.28684601	0.92
612	2017	Octubre	32.5	10.345	39.449	18.14654348	0.841
613	2017	Octubre	76	24.191	321.857	148.0541261	4.596
614	2017	Octubre	61	19.417	186.949	85.99637621	2.961
615	2017	Octubre	20	6.366	11.885	5.467329495	0.318
616	2017	Octubre	19	6.048	10.471	4.816485715	0.287
617	2017	Octubre	20	6.366	11.885	5.467329495	0.318
618	2017	Octubre	20.5	6.525	12.633	5.811308342	0.334
619	2017	Octubre	57.5	18.303	161.552	74.3137835	2.631
620	2017	Octubre	31	9.868	35.102	16.14674081	0.765
621	2017	Octubre	32.5	10.345	39.449	18.14654348	0.841
622	2017	Octubre	39	12.414	61.9	28.47415027	1.21
623	2017	Octubre	61	19.417	186.949	85.99637621	2.961
624	2017	Octubre	40	12.732	65.897	30.31240307	1.273
625	2017	Octubre	52	16.552	126.013	57.96614125	2.152
626	2017	Octubre	37	11.777	54.35	25.00095445	1.089
627	2017	Octubre	40	12.732	65.897	30.31240307	1.273
628	2017	Octubre	38	12.096	58.052	26.70394322	1.149
629	2017	Octubre	68	21.645	244.513	112.4759453	3.68
630	2017	Octubre	69	21.963	253.494	116.6074322	3.789
631	2017	Octubre	26	8.276	22.729	10.45512601	0.538
632	2017	Octubre	34	10.823	44.102	20.28684601	0.92
633	2017	Octubre	30	9.549	32.37	14.89007033	0.716
634	2017	Octubre	33	10.504	40.966	18.84421602	0.867
635	2017	Octubre	25	7.958	20.629	9.489424833	0.497
636	2017	Octubre	22	7.003	15.042	6.919210975	0.385
637	2017	Octubre	39	12.414	61.9	28.47415027	1.21
638	2017	Octubre	11.5	3.661	3.028	1.392882533	0.105
639	2017	Octubre	29	9.231	29.769	13.69353517	0.669
640	2017	Octubre	34	10.823	44.102	20.28684601	0.92
641	2017	Octubre	17	5.411	7.954	3.659059009	0.23
642	2017	Octubre	49	15.597	108.804	50.0500646	1.911
643	2017	Octubre	67.5	21.486	240.094	110.4433958	3.626
644	2017	Octubre	33	10.504	40.966	18.84421602	0.867
645	2017	Octubre	67	21.327	235.724	108.4328733	3.572
646	2017	Octubre	22.5	7.162	15.901	7.314306092	0.403
647	2017	Octubre	42.5	13.528	76.546	35.21106612	1.437
648	2017	Octubre	60.3	19.194	181.692	83.57842965	2.894
649	2017	Octubre	35	11.141	47.377	21.79326332	0.975
650	2017	Octubre	75.5	24.032	316.65	145.6589068	4.536
651	2017	Octubre	47.5	15.12	100.759	46.34896473	1.795
652	2017	Octubre	20.5	6.525	12.633	5.811308342	0.334
653	2017	Octubre	77	24.51	332.423	152.9145146	4.718
654	2017	Octubre	73	23.237	291.369	134.02966	4.241
655	2016	Septiembre	39.5	12.573	63.88	29.38471967	1.242
656	2016	Septiembre	58	18.462	165.045	75.92078689	2.677
657	2016	Septiembre	43.8	13.942	82.462	37.93260387	1.527
658	2016	Septiembre	39	12.414	61.9	28.47415027	1.21
659	2016	Septiembre	32	10.186	37.966	17.46448265	0.815
660	2016	Septiembre	85.1	27.088	425.626	195.7880007	5.763
661	2016	Septiembre	39.5	12.573	63.88	29.38471967	1.242
662	2016	Septiembre	234	74.484	5182.087	2383.759914	43.573
663	2016	Septiembre	20	6.366	11.885	5.467329495	0.318
664	2016	Septiembre	48	15.279	103.4	47.56387468	1.833
665	2016	Septiembre	43	13.687	78.79	36.24354606	1.471
666	2016	Septiembre	25.5	8.117	21.664	9.965312323	0.517
667	2016	Septiembre	60	19.099	179.467	82.55471232	2.865
668	2016	Septiembre	74	23.555	301.331	138.6122803	4.358
669	2016	Septiembre	53	16.87	132.086	60.7597254	2.235
670	2016	Septiembre	56.5	17.984	154.698	71.16096735	2.54
671	2016	Septiembre	39.4	12.541	63.481	29.20123994	1.235
